tweet_id,company,date,username,text,replies,reposts,likes,bookmarks,views,comment_count,total_engagement,main_sentiment,avg_comment_sentiment
1900177650213412984,samsung,2025-04-15,SamsungMobile,vanessa hill a sleep scientist explores how technology improves sleep with healthy routines and innovations she sees a future where everyone has quality sleep,32,13,184,13,37703,14,242,0.25,-0.02996794871794871
1907405936110776355,samsung,2025-04-15,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,40,34,283,5,41721,44,362,0.21991341991341992,0.0943101469237833
1909598818976608442,samsung,2025-04-15,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,122,32,267,15,40936,164,436,0.0,0.04284022568184059
1878804210986479685,samsung,2025-04-16,SamsungMobile,samsung leads sleep technology with expansion and app update,33,75,561,16,63451,17,685,0.0,0.08529629629629629
1881763856546169194,samsung,2025-04-16,SamsungMobile,d ready to meet your true ai companion visit the space and discover how enriches your daily life doors open tomorrow,97,209,1795,37,93354,78,2138,0.1375,0.09810643638768639
1895323042286567440,samsung,2025-04-16,SamsungMobile,series offers enhanced convenience on the series,33,30,272,12,37009,28,347,0.1,0.03977047258297258
1896062921077375472,samsung,2025-04-16,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,102,61,485,21,51766,27,669,0.13636363636363635,0.04840356831097572
1907405936110776355,samsung,2025-04-16,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,42,34,284,5,42383,31,365,0.21991341991341992,0.07801075268817205
1909598818976608442,samsung,2025-04-16,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,122,32,268,15,42003,82,437,0.0,0.0491259695165945
1895323042286567440,samsung,2025-04-17,SamsungMobile,series offers enhanced convenience on the series,33,31,273,12,37055,27,349,0.1,0.08275579872802094
1896062921077375472,samsung,2025-04-17,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,101,61,485,21,51835,26,668,0.13636363636363635,0.04307992932992934
1907405936110776355,samsung,2025-04-17,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,42,34,285,5,42617,31,366,0.21991341991341992,0.07427989573150863
1909598818976608442,samsung,2025-04-17,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,122,32,267,15,42337,83,436,0.0,0.04220634475264104
1878804210986479685,samsung,2025-04-18,SamsungMobile,samsung leads sleep technology with expansion and app update,33,75,559,16,63468,10,683,0.0,0.17364197530864195
1881763856546169194,samsung,2025-04-18,SamsungMobile,d ready to meet your true ai companion visit the space and discover how enriches your daily life doors open tomorrow,97,209,1793,37,93386,113,2136,0.1375,0.1151585977732767
